label,text
1,Earnings beat expectations and revenue surged.
1,Profit rose and shares jumped to a record.
1,Sales climbed as demand soared.
1,Strong growth boosted profit and shares rallied.
1,The firm raised guidance and the stock surged.
1,Revenue rose and margins climbed higher.
1,Analysts upgraded the stock after profit beat estimates.
1,Bookings soared and growth accelerated.
1,The company gained share as sales rose.
1,Record profit and strong demand lifted shares higher.
1,Earnings surged and the dividend was raised.
1,Shares rallied as revenue beat and margins rose.
1,Profit climbed and guidance was raised again.
1,Demand surged and bookings jumped to a record.
1,Strong sales boosted profit and the stock soared.
1,The upgrade reflects rising profit and fast growth.
1,Revenue jumped and earnings beat across segments.
1,Margins rose and free cash flow climbed.
1,Shares surged after the firm raised its profit outlook.
1,Growth accelerated and the company beat expectations.
1,Profit rose, sales climbed, and shares gained.
1,Bookings beat and revenue surged to a record high.
1,The stock soared as strong demand lifted profit.
1,Earnings climbed and analysts upgraded the rating.
1,Revenue surged, margins rose, and guidance was raised.
1,Profit jumped and shares rallied on strong growth.
1,Sales rose and the firm gained market share.
1,Record bookings and rising profit boosted the stock.
1,Strong earnings beat estimates and shares climbed.
1,Demand soared, revenue surged, and profit rose.
0,Earnings missed expectations and revenue plunged.
0,Profit fell and shares dropped to a low.
0,Sales declined as demand slumped.
0,Weak growth cut profit and shares sank.
0,The firm slashed guidance and the stock plunged.
0,Revenue fell and margins dropped lower.
0,Analysts downgraded the stock after profit missed estimates.
0,Bookings sank and growth decelerated.
0,The company lost share as sales fell.
0,Steep loss and weak demand pushed shares lower.
0,Earnings plunged and the dividend was cut.
0,Shares tumbled as revenue missed and margins fell.
0,Profit declined and guidance was cut again.
0,Demand slumped and bookings dropped to a low.
0,Weak sales cut profit and the stock sank.
0,The downgrade reflects falling profit and slow growth.
0,Revenue dropped and earnings missed across segments.
0,Margins fell and free cash flow declined.
0,Shares plunged after the firm cut its profit outlook.
0,Growth stalled and the company missed expectations.
0,Profit fell, sales declined, and shares dropped.
0,Bookings missed and revenue plunged to a low.
0,The stock sank as weak demand hurt profit.
0,Earnings declined and analysts downgraded the rating.
0,Revenue plunged, margins fell, and guidance was cut.
0,Profit dropped and shares tumbled on weak growth.
0,Sales fell and the firm lost market share.
0,Weak bookings and falling profit dragged the stock lower.
0,Weak earnings missed estimates and shares fell.
0,Demand slumped, revenue plunged, and profit fell.
